Method,HopCount,Time
Rest,1,813ms
Rest,6,5833ms
Rest,1,1516ms
Rest,6,9737ms
Rest,2,12855ms
Rest,4,15698ms
Rest,4,16350ms
Rest,0,0ms
Rest,1,44ms
Rest,0,0ms
Rest,4,62ms
Rest,5,125ms
Rest,0,0ms
Rest,4,79ms
Rest,0,0ms
Rest,5,893ms
Rest,3,422ms
Rest,3,165ms
Rest,2,41ms
Rest,2,31ms
Rest,1,15ms
Rest,3,3763ms
